contrast,sf,scale,low,high
0.005,16,0,0,0
0.005,4,2.21381518338351,1.7272864638861,3.02892500931733
0.005,0.5,0.215536535348212,-0.283288923389953,0.782793436356154
0.013,16,0.701032760568235,0.213755224673453,1.39778565016273
0.013,4,3.06815512429735,2.57580580504075,4.01994639312302
0.013,0.5,2.51448534135397,2.03037192590822,3.37383288661272
0.035,16,0.696802289121068,0.205340860541269,1.34332028441998
0.035,4,4.25735842497058,3.72492113342148,5.40748004307673
0.035,0.5,3.89316602747388,3.36865407541098,4.92318182314162
0.092,16,1.71911045200071,1.27349002309288,2.51157484895118
0.092,4,5.54291973555344,4.99346935933653,6.94558804710041
0.092,0.5,5.30722540961656,4.72462086861687,6.70141787960619
0.243,16,3.13135345138071,2.61538377475328,4.0997514882595
0.243,4,6.88875603016928,6.24557936586405,8.50455767867965
0.243,0.5,6.21831218418495,5.58936434997528,7.75690193906921
0.64,16,7.32705729012482,6.60866788630387,9.00192263833391
0.64,4,9.00649558968217,8.2778357286499,12.0974689250444
0.64,0.5,7.99606767963377,7.26208971695251,9.90249195749982
